>Q0010 Q0010 SGDID:S000007257, Chromosome Mito:3952..4338
>AUR1 YKL004W SGDID:S000001487, Chromosome XI:435580..436785
>BYE1 YKL005C SGDID:S000001488, Chromosome XI:433093..434877
>SFT1 YKL006C-A SGDID:S000002101, Chromosome XI:430198..430632
>RPL14A YKL006W SGDID:S000001489, Chromosome XI:431906..432720
>CAP1 YKL007W SGDID:S000001490, Chromosome XI:429302..430108
>LAC1 YKL008C SGDID:S000001491, Chromosome XI:427295..428551
>MRT4 YKL009W SGDID:S000001492, Chromosome XI:426242..426952
>UFD4 YKL010C SGDID:S000001493, Chromosome XI:421424..425875
>CCE1 YKL011C SGDID:S000001494, Chromosome XI:420155..421216
>ARC19 YKL013C SGDID:S000001496, Chromosome XI:417508..418023
>PUT3 YKL015W SGDID:S000001498, Chromosome XI:408544..411483
>ATP7 YKL016C SGDID:S000001499, Chromosome XI:407465..407989
>HCS1 YKL017C SGDID:S000001500, Chromosome XI:405190..407241
>MCO12 YKL018C-A SGDID:S000007615, Chromosome XI:403580..403879
>SWD2 YKL018W SGDID:S000001501, Chromosome XI:404102..405091
>RAM2 YKL019W SGDID:S000001502, Chromosome XI:402568..403518
>MIN9 YKL023C-A SGDID:S000113559, Chromosome XI:393146..393373
>SKA1 YKL023W SGDID:S000001506, Chromosome XI:393721..394554
>URA6 YKL024C SGDID:S000001507, Chromosome XI:392526..393140
>PAN3 YKL025C SGDID:S000001508, Chromosome XI:390240..392279
>TCD2 YKL027W SGDID:S000001510, Chromosome XI:387562..388905
>YKL030W YKL030W SGDID:S000001513, Chromosome XI:382498..383103
>YKL031W YKL031W SGDID:S000001514, Chromosome XI:382072..382485
>UGP1 YKL035W SGDID:S000001518, Chromosome XI:369891..371390
>YKL036C YKL036C SGDID:S000001519, Chromosome XI:369528..369920
>AIM26 YKL037W SGDID:S000001520, Chromosome XI:369365..369721
>RGT1 YKL038W SGDID:S000001521, Chromosome XI:365605..369117
>PTM1 YKL039W SGDID:S000001522, Chromosome XI:362622..364193
>NFU1 YKL040C SGDID:S000001523, Chromosome XI:361058..361828
>VPS24 YKL041W SGDID:S000001524, Chromosome XI:360143..360817
>SPC42 YKL042W SGDID:S000001525, Chromosome XI:358475..359566
>MMO1 YKL044W SGDID:S000001527, Chromosome XI:356322..356642
>PRI2 YKL045W SGDID:S000001528, Chromosome XI:353493..355079
>ELM1 YKL048C SGDID:S000001531, Chromosome XI:347214..349136
>CSE4 YKL049C SGDID:S000001532, Chromosome XI:346075..346764
>YKL050C YKL050C SGDID:S000001533, Chromosome XI:342852..345620
>SFK1 YKL051W SGDID:S000001534, Chromosome XI:341312..342373
>MDM35 YKL053C-A SGDID:S000007243, Chromosome XI:339182..339442
>YKL053W YKL053W SGDID:S000001536, Chromosome XI:339572..339946
>DEF1 YKL054C SGDID:S000001537, Chromosome XI:336537..338753
>OAR1 YKL055C SGDID:S000001538, Chromosome XI:335321..336157
>NUP120 YKL057C SGDID:S000001540, Chromosome XI:330856..333969
>TOA2 YKL058W SGDID:S000001541, Chromosome XI:330166..330534
>MPE1 YKL059C SGDID:S000001542, Chromosome XI:328118..329443
>FBA1 YKL060C SGDID:S000001543, Chromosome XI:326408..327487
>BLI1 YKL061W SGDID:S000001544, Chromosome XI:325771..326112
>MSN4 YKL062W SGDID:S000001545, Chromosome XI:323228..325120
>YKL063C YKL063C SGDID:S000001546, Chromosome XI:321015..321518
>YET1 YKL065C SGDID:S000001548, Chromosome XI:316437..317057
>DPC7 YKL065W-A SGDID:S000113563, Chromosome XI:315954..316175
>YKL066W YKL066W SGDID:S000001549, Chromosome XI:315281..315724
>YNK1 YKL067W SGDID:S000001550, Chromosome XI:314812..315273
>YKL068W-A YKL068W-A SGDID:S000028524, Chromosome XI:309206..309442
>NUP100 YKL068W SGDID:S000001551, Chromosome XI:310199..313078
>STB6 YKL072W SGDID:S000001555, Chromosome XI:299582..301882
>AAN1 YKL075C SGDID:S000001558, Chromosome XI:292956..294308
>PSY1 YKL076C SGDID:S000001559, Chromosome XI:292838..293221
>PSG1 YKL077W SGDID:S000001560, Chromosome XI:291453..292631
>VMA5 YKL080W SGDID:S000001563, Chromosome XI:285030..286208
>TEF4 YKL081W SGDID:S000001564, Chromosome XI:282891..284455
>RRP14 YKL082C SGDID:S000001565, Chromosome XI:281025..282329
>YKL083W YKL083W SGDID:S000001566, Chromosome XI:280921..281535
>HOT13 YKL084W SGDID:S000001567, Chromosome XI:280509..280859
>MDH1 YKL085W SGDID:S000001568, Chromosome XI:279123..280127
>SRX1 YKL086W SGDID:S000001569, Chromosome XI:278281..278664
>CYT2 YKL087C SGDID:S000001570, Chromosome XI:277189..277863
>CAB3 YKL088W SGDID:S000001571, Chromosome XI:275283..276998
>CUE2 YKL090W SGDID:S000001573, Chromosome XI:271878..273209
>YKL091C YKL091C SGDID:S000001574, Chromosome XI:269718..270650
>MBR1 YKL093W SGDID:S000001576, Chromosome XI:264789..265808
>YJU2 YKL095W SGDID:S000001578, Chromosome XI:262277..263113
>YKL096C-B YKL096C-B SGDID:S000028667, Chromosome XI:259073..259222
>CWP2 YKL096W-A SGDID:S000001956, Chromosome XI:259253..259531
>YKL097C YKL097C SGDID:S000001580, Chromosome XI:258503..258913
>MTC2 YKL098W SGDID:S000001581, Chromosome XI:256770..257843
>UTP11 YKL099C SGDID:S000001582, Chromosome XI:255720..256472
>YPF1 YKL100C SGDID:S000001583, Chromosome XI:253697..255460
>YKL100W-A YKL100W-A SGDID:S000028840, Chromosome XI:254159..254248
>HSL1 YKL101W SGDID:S000001584, Chromosome XI:248920..253476
>YKL102C YKL102C SGDID:S000001585, Chromosome XI:248062..248367
>APE1 YKL103C SGDID:S000001586, Chromosome XI:246138..247682
>SEG2 YKL105C SGDID:S000001588, Chromosome XI:239185..242583
>YKL106C-A YKL106C-A SGDID:S000007616, Chromosome XI:237147..237266
>AAT1 YKL106W SGDID:S000001589, Chromosome XI:237536..238891
>KTI12 YKL110C SGDID:S000001593, Chromosome XI:228939..229880
>YKL111C YKL111C SGDID:S000001594, Chromosome XI:228464..228799
>ABF1 YKL112W SGDID:S000001595, Chromosome XI:226570..228765
>RAD27 YKL113C SGDID:S000001596, Chromosome XI:224727..225875
>APN1 YKL114C SGDID:S000001597, Chromosome XI:223352..224455
>YKL115C YKL115C SGDID:S000001598, Chromosome XI:222893..223285
>PRR1 YKL116C SGDID:S000001599, Chromosome XI:221344..222900
>SBA1 YKL117W SGDID:S000001600, Chromosome XI:220324..220974
>YKL118W YKL118W SGDID:S000001601, Chromosome XI:219126..219437
>VPH2 YKL119C SGDID:S000001602, Chromosome XI:218570..219217
>OAC1 YKL120W SGDID:S000001603, Chromosome XI:217344..218318
>DGR2 YKL121W SGDID:S000001604, Chromosome XI:214142..216700
>YKL123W YKL123W SGDID:S000001606, Chromosome XI:212043..212423
>RRN3 YKL125W SGDID:S000001608, Chromosome XI:208247..210130
>YPK1 YKL126W SGDID:S000001609, Chromosome XI:205707..207749
>PGM1 YKL127W SGDID:S000001610, Chromosome XI:203541..205253
>PMU1 YKL128C SGDID:S000001611, Chromosome XI:200884..201771
>MYO3 YKL129C SGDID:S000001612, Chromosome XI:196349..200167
>YKL131W YKL131W SGDID:S000001614, Chromosome XI:194478..194999
>RMA1 YKL132C SGDID:S000001615, Chromosome XI:193574..194866
>YKL136W YKL136W SGDID:S000001619, Chromosome XI:186416..186814
>CMC1 YKL137W SGDID:S000001620, Chromosome XI:185957..186292
>HSK3 YKL138C-A SGDID:S000028421, Chromosome XI:184803..185012
>MRPL31 YKL138C SGDID:S000001621, Chromosome XI:185286..185681
>CTK1 YKL139W SGDID:S000001622, Chromosome XI:182958..184544
>TGL1 YKL140W SGDID:S000001623, Chromosome XI:180779..182425
>SDH3 YKL141W SGDID:S000001624, Chromosome XI:179667..180263
>MRP8 YKL142W SGDID:S000001625, Chromosome XI:178515..179174
>LTV1 YKL143W SGDID:S000001626, Chromosome XI:176781..178172
>RPC25 YKL144C SGDID:S000001627, Chromosome XI:175843..176481
>YKL145W-A YKL145W-A SGDID:S000028841, Chromosome XI:174958..175050
>RPT1 YKL145W SGDID:S000001628, Chromosome XI:174213..175616
>YKL147C YKL147C SGDID:S000001630, Chromosome XI:171551..172168
>DBR1 YKL149C SGDID:S000001632, Chromosome XI:167612..168829
>GPM1 YKL152C SGDID:S000001635, Chromosome XI:163642..164385
>YKL153W YKL153W SGDID:S000001636, Chromosome XI:163600..164109
>SRP102 YKL154W SGDID:S000001637, Chromosome XI:161601..162335
>RSM22 YKL155C SGDID:S000001638, Chromosome XI:159456..161342
>YKL156C-A YKL156C-A SGDID:S000028668, Chromosome XI:158975..159091
>APE2 YKL157W SGDID:S000001640, Chromosome XI:154991..158232
>RCN1 YKL159C SGDID:S000001642, Chromosome XI:153816..154451
>ELF1 YKL160W SGDID:S000001643, Chromosome XI:153269..153706
>YKL162C-A YKL162C-A SGDID:S000007244, Chromosome XI:145922..146074
>YKL162C YKL162C SGDID:S000001645, Chromosome XI:147630..148838
>PIR1 YKL164C SGDID:S000001647, Chromosome XI:141794..142819
>YKL165C-A YKL165C-A SGDID:S000007617, Chromosome XI:135790..136023
>MCD4 YKL165C SGDID:S000001648, Chromosome XI:137932..140691
>TPK3 YKL166C SGDID:S000001649, Chromosome XI:134509..135705
>MRP49 YKL167C SGDID:S000001650, Chromosome XI:133721..134134
>YKL169C YKL169C SGDID:S000001652, Chromosome XI:130685..131068
>MRPL38 YKL170W SGDID:S000001653, Chromosome XI:130634..131050
>TPO5 YKL174C SGDID:S000001657, Chromosome XI:120380..122236
>ZRT3 YKL175W SGDID:S000001658, Chromosome XI:118793..120304
>LST4 YKL176C SGDID:S000001659, Chromosome XI:115500..117986
>YKL177W YKL177W SGDID:S000001660, Chromosome XI:114356..114694
>STE3 YKL178C SGDID:S000001661, Chromosome XI:113215..114627
>PRS1 YKL181W SGDID:S000001664, Chromosome XI:107316..108599
>YKL183C-A YKL183C-A SGDID:S000028558, Chromosome XI:98395..98607
>LOT5 YKL183W SGDID:S000001666, Chromosome XI:98721..99641
>ASH1 YKL185W SGDID:S000001668, Chromosome XI:94499..96265
>PXA2 YKL188C SGDID:S000001671, Chromosome XI:86225..88786
>HYM1 YKL189W SGDID:S000001672, Chromosome XI:84704..85903
>DPH2 YKL191W SGDID:S000001674, Chromosome XI:81035..82639
>MIA40 YKL195W SGDID:S000001678, Chromosome XI:75821..77032
>YKT6 YKL196C SGDID:S000001679, Chromosome XI:74932..75534
>YKL202W YKL202W SGDID:S000001685, Chromosome XI:63821..64402
>TOR2 YKL203C SGDID:S000001686, Chromosome XI:55935..63359
>EAP1 YKL204W SGDID:S000001687, Chromosome XI:53704..55602
>ADD66 YKL206C SGDID:S000001689, Chromosome XI:49006..49809
>STE6 YKL209C SGDID:S000001692, Chromosome XI:42423..46295
>SAC1 YKL212W SGDID:S000001695, Chromosome XI:34543..36414
>DOA1 YKL213C SGDID:S000001696, Chromosome XI:31960..34107
>YRA2 YKL214C SGDID:S000001697, Chromosome XI:31082..31693
>URA1 YKL216W SGDID:S000001699, Chromosome XI:25215..26159
>SRY1 YKL218C SGDID:S000001701, Chromosome XI:17359..18339
>COS9 YKL219W SGDID:S000001702, Chromosome XI:14485..15708
>MCH2 YKL221W SGDID:S000001704, Chromosome XI:6107..7528
>YKL222C YKL222C SGDID:S000001705, Chromosome XI:3503..5620
>YKL225W YKL225W SGDID:S000001708, Chromosome XI:451..798
>VPS1 YKR001C SGDID:S000001709, Chromosome XI:440608..442722
>OSH6 YKR003W SGDID:S000001711, Chromosome XI:445381..446727
>ECM9 YKR004C SGDID:S000001712, Chromosome XI:446799..448036
>MEH1 YKR007W SGDID:S000001715, Chromosome XI:451434..451988
>RSC4 YKR008W SGDID:S000001716, Chromosome XI:452201..454078
>FOX2 YKR009C SGDID:S000001717, Chromosome XI:454352..457054
>YKR012C YKR012C SGDID:S000001720, Chromosome XI:463739..464116
>YPT52 YKR014C SGDID:S000001722, Chromosome XI:465367..466071
>YKR015C YKR015C SGDID:S000001723, Chromosome XI:466961..468667
>HEL1 YKR017C SGDID:S000001725, Chromosome XI:471694..473349
>YKR018C YKR018C SGDID:S000001726, Chromosome XI:473723..475900
>IRS4 YKR019C SGDID:S000001727, Chromosome XI:476216..478063
>DBP7 YKR024C SGDID:S000001732, Chromosome XI:485144..487372
>GCN3 YKR026C SGDID:S000001734, Chromosome XI:488738..489655
>BCH2 YKR027W SGDID:S000001735, Chromosome XI:491364..493661
>SAP190 YKR028W SGDID:S000001736, Chromosome XI:494257..497358
>SET3 YKR029C SGDID:S000001737, Chromosome XI:497578..499833
>GMH1 YKR030W SGDID:S000001738, Chromosome XI:500282..501103
>YKR032W YKR032W SGDID:S000001740, Chromosome XI:506517..506831
>YKR033C YKR033C SGDID:S000001741, Chromosome XI:506879..507304
>DAL80 YKR034W SGDID:S000001742, Chromosome XI:506898..507707
>OPI8 YKR035C SGDID:S000001743, Chromosome XI:507920..508561
>DID2 YKR035W-A SGDID:S000006435, Chromosome XI:507939..508553
>CAF4 YKR036C SGDID:S000001744, Chromosome XI:508702..510633
>SPC34 YKR037C SGDID:S000001745, Chromosome XI:510910..511797
>GAP1 YKR039W SGDID:S000001747, Chromosome XI:515063..516871
>YKR040C YKR040C SGDID:S000001748, Chromosome XI:518063..518566
>SHB17 YKR043C SGDID:S000001751, Chromosome XI:520897..521712
>UIP5 YKR044W SGDID:S000001752, Chromosome XI:522015..523346
>YKR045C YKR045C SGDID:S000001753, Chromosome XI:523418..523969
>PLN1 YKR046C SGDID:S000001754, Chromosome XI:524223..525074
>YKR047W YKR047W SGDID:S000001755, Chromosome XI:525257..525562
>NAP1 YKR048C SGDID:S000001756, Chromosome XI:525387..526640
>HFL1 YKR051W SGDID:S000001759, Chromosome XI:530946..532202
>MRS4 YKR052C SGDID:S000001760, Chromosome XI:532550..533464
>YSR3 YKR053C SGDID:S000001761, Chromosome XI:534067..535281
>DYN1 YKR054C SGDID:S000001762, Chromosome XI:535647..547925
>GLG1 YKR058W SGDID:S000001766, Chromosome XI:552770..554620
>UTP30 YKR060W SGDID:S000001768, Chromosome XI:556518..557342
>KTR2 YKR061W SGDID:S000001769, Chromosome XI:557677..558954
>TFA2 YKR062W SGDID:S000001770, Chromosome XI:559666..560652
>PAM17 YKR065C SGDID:S000001773, Chromosome XI:565299..565892
>CCP1 YKR066C SGDID:S000001774, Chromosome XI:566113..567198
>GPT2 YKR067W SGDID:S000001775, Chromosome XI:567918..570149
>BET3 YKR068C SGDID:S000001776, Chromosome XI:570328..570909
>MET1 YKR069W SGDID:S000001777, Chromosome XI:571612..573393
>DRE2 YKR071C SGDID:S000001779, Chromosome XI:574934..575980
>SIS2 YKR072C SGDID:S000001780, Chromosome XI:576435..578123
>YKR073C YKR073C SGDID:S000001781, Chromosome XI:578187..578507
>YKR075W-A YKR075W-A SGDID:S000028669, Chromosome XI:580212..580481
>MSA2 YKR077W SGDID:S000001785, Chromosome XI:583653..584744
>VPS501 YKR078W SGDID:S000001786, Chromosome XI:584952..586709
>TRZ1 YKR079C SGDID:S000001787, Chromosome XI:586789..589305
>MTD1 YKR080W SGDID:S000001788, Chromosome XI:590395..591357
>RPF2 YKR081C SGDID:S000001789, Chromosome XI:591506..592540
>NUP133 YKR082W SGDID:S000001790, Chromosome XI:592825..596298
>PRP16 YKR086W SGDID:S000001794, Chromosome XI:599857..603072
>OMA1 YKR087C SGDID:S000001795, Chromosome XI:603195..604232
>TVP38 YKR088C SGDID:S000001796, Chromosome XI:604405..605418
>TGL4 YKR089C SGDID:S000001797, Chromosome XI:605633..608365
>SRL3 YKR091W SGDID:S000001799, Chromosome XI:611525..612265
>SRP40 YKR092C SGDID:S000001800, Chromosome XI:612665..613885
>PCC1 YKR095W-A SGDID:S000028512, Chromosome XI:625864..626205
>MLP1 YKR095W SGDID:S000001803, Chromosome XI:619805..625432
>ESL2 YKR096W SGDID:S000001804, Chromosome XI:626793..630380
>PCK1 YKR097W SGDID:S000001805, Chromosome XI:631152..632801
>UBP11 YKR098C SGDID:S000001806, Chromosome XI:633026..635179
>BAS1 YKR099W SGDID:S000001807, Chromosome XI:635851..638286
>SKG1 YKR100C SGDID:S000001808, Chromosome XI:638901..639968
>SIR1 YKR101W SGDID:S000001809, Chromosome XI:640540..642504
>FLO10 YKR102W SGDID:S000001810, Chromosome XI:646356..649865
>VBA5 YKR105C SGDID:S000001813, Chromosome XI:658716..660464
>GEX2 YKR106W SGDID:S000001814, Chromosome XI:661442..663289
>DNM1 YLL001W SGDID:S000003924, Chromosome XII:147890..150163
>SPO75 YLL005C SGDID:S000003928, Chromosome XII:137940..140546
>YLL006W-A YLL006W-A SGDID:S000028560, Chromosome XII:136345..136521
>MMM1 YLL006W SGDID:S000003929, Chromosome XII:136586..137866
>LMO1 YLL007C SGDID:S000003930, Chromosome XII:134302..136299
>DRS1 YLL008W SGDID:S000003931, Chromosome XII:131729..133987
>COX17 YLL009C SGDID:S000003932, Chromosome XII:131205..131414
>SOF1 YLL011W SGDID:S000003934, Chromosome XII:127523..128992
>YEH1 YLL012W SGDID:S000003935, Chromosome XII:125534..127255
>PUF3 YLL013C SGDID:S000003936, Chromosome XII:122075..124714
>EMC6 YLL014W SGDID:S000003937, Chromosome XII:121322..121648
>COX19 YLL018C-A SGDID:S000007245, Chromosome XII:108676..108972
>KNS1 YLL019C SGDID:S000003942, Chromosome XII:105686..107899
>YLL019W-A YLL019W-A SGDID:S000028670, Chromosome XII:106908..107000
>YLL020C YLL020C SGDID:S000003943, Chromosome XII:105556..105861
>SPA2 YLL021W SGDID:S000003944, Chromosome XII:100947..105347
>HIF1 YLL022C SGDID:S000003945, Chromosome XII:99044..100201
>HSP104 YLL026W SGDID:S000003949, Chromosome XII:88623..91349
>ISA1 YLL027W SGDID:S000003950, Chromosome XII:87403..88155
>TPO1 YLL028W SGDID:S000003951, Chromosome XII:84804..86564
>FRA1 YLL029W SGDID:S000003952, Chromosome XII:81461..83710
>RRT7 YLL030C SGDID:S000003953, Chromosome XII:80356..80697
>GPI13 YLL031C SGDID:S000003954, Chromosome XII:77152..80205
>IRC19 YLL033W SGDID:S000003956, Chromosome XII:73409..74101
>RIX7 YLL034C SGDID:S000003957, Chromosome XII:70633..73146
>GRC3 YLL035W SGDID:S000003958, Chromosome XII:68580..70478
>PRP19 YLL036C SGDID:S000003959, Chromosome XII:66745..68256
>YLL037W YLL037W SGDID:S000003960, Chromosome XII:66562..66942
>VPS13 YLL040C SGDID:S000003963, Chromosome XII:54211..63645
>SDH2 YLL041C SGDID:S000003964, Chromosome XII:53131..53931
>ATG10 YLL042C SGDID:S000003965, Chromosome XII:52087..52590
>FPS1 YLL043W SGDID:S000003966, Chromosome XII:49938..51947
>YLL044W YLL044W SGDID:S000003967, Chromosome XII:48216..48662
>RNP1 YLL046C SGDID:S000003969, Chromosome XII:46714..47463
>YLL047W YLL047W SGDID:S000003970, Chromosome XII:46672..47055
>YLL054C YLL054C SGDID:S000003977, Chromosome XII:32673..35204
>YCT1 YLL055W SGDID:S000003978, Chromosome XII:30109..31704
>YLL059C YLL059C SGDID:S000003982, Chromosome XII:22474..22980
>MMP1 YLL061W SGDID:S000003984, Chromosome XII:17956..19707
>MHT1 YLL062C SGDID:S000003985, Chromosome XII:16639..17613
>AYT1 YLL063C SGDID:S000003986, Chromosome XII:14648..16072
>YLL065W YLL065W SGDID:S000003988, Chromosome XII:11726..12076
>YLL066W-B YLL066W-B SGDID:S000028672, Chromosome XII:5605..5775
>SSL1 YLR005W SGDID:S000003995, Chromosome XII:160049..161434
>SSK1 YLR006C SGDID:S000003996, Chromosome XII:161755..163893
>PAM18 YLR008C SGDID:S000003998, Chromosome XII:165577..166083
>RLP24 YLR009W SGDID:S000003999, Chromosome XII:166537..167136
>TEN1 YLR010C SGDID:S000004000, Chromosome XII:167320..167802
>GAT3 YLR013W SGDID:S000004003, Chromosome XII:171339..171764
>BRE2 YLR015W SGDID:S000004005, Chromosome XII:175227..176744
>PML1 YLR016C SGDID:S000004006, Chromosome XII:176802..177416
>MEU1 YLR017W SGDID:S000004007, Chromosome XII:177608..178621
>POM34 YLR018C SGDID:S000004008, Chromosome XII:178707..179606
>PSR2 YLR019W SGDID:S000004009, Chromosome XII:180288..181481
>YEH2 YLR020C SGDID:S000004010, Chromosome XII:181789..183405
>IRC25 YLR021W SGDID:S000004011, Chromosome XII:183623..184162
>SDO1 YLR022C SGDID:S000004012, Chromosome XII:184174..184926
>IZH3 YLR023C SGDID:S000004013, Chromosome XII:185498..187129
>UBR2 YLR024C SGDID:S000004014, Chromosome XII:187663..193281
>SNF7 YLR025W SGDID:S000004015, Chromosome XII:194452..195174
>SED5 YLR026C SGDID:S000004016, Chromosome XII:195450..196472
>AAT2 YLR027C SGDID:S000004017, Chromosome XII:196829..198085
>YLR036C YLR036C SGDID:S000004026, Chromosome XII:221521..222132
>COX12 YLR038C SGDID:S000004028, Chromosome XII:224921..225172
>AFB1 YLR040C SGDID:S000004030, Chromosome XII:228908..229582
>YLR041W YLR041W SGDID:S000004031, Chromosome XII:229377..229697
>NFG1 YLR042C SGDID:S000004032, Chromosome XII:229966..230451
>FRE8 YLR047C SGDID:S000004037, Chromosome XII:239347..241407
>MLO50 YLR049C SGDID:S000004039, Chromosome XII:243886..245172
>EMA19 YLR050C SGDID:S000004040, Chromosome XII:245587..246072
>FCF2 YLR051C SGDID:S000004041, Chromosome XII:246324..246977
>NRS1 YLR053C SGDID:S000004043, Chromosome XII:248100..248426
>ERG3 YLR056W SGDID:S000004046, Chromosome XII:253861..254958
>SHM2 YLR058C SGDID:S000004048, Chromosome XII:257992..259401
>REX2 YLR059C SGDID:S000004049, Chromosome XII:259738..260547
>FRS1 YLR060W SGDID:S000004050, Chromosome XII:260979..262766
>BUD28 YLR062C SGDID:S000004052, Chromosome XII:263577..263954
>BMT6 YLR063W SGDID:S000004053, Chromosome XII:264157..265254
>PER33 YLR064W SGDID:S000004054, Chromosome XII:265456..266277
>SND2 YLR065C SGDID:S000004055, Chromosome XII:266373..266918
>SPC3 YLR066W SGDID:S000004056, Chromosome XII:267169..267723
>PET309 YLR067C SGDID:S000004057, Chromosome XII:267813..270710
>FYV7 YLR068W SGDID:S000004058, Chromosome XII:271008..271463
>MEF1 YLR069C SGDID:S000004059, Chromosome XII:271630..273915
>XYL2 YLR070C SGDID:S000004060, Chromosome XII:274141..275211
>RGR1 YLR071C SGDID:S000004061, Chromosome XII:275378..278626
>LAM6 YLR072W SGDID:S000004062, Chromosome XII:278862..280943
>RFU1 YLR073C SGDID:S000004063, Chromosome XII:281019..281621
>RPL10 YLR075W SGDID:S000004065, Chromosome XII:282927..283592
>YLR076C YLR076C SGDID:S000004066, Chromosome XII:283185..283607
>BOS1 YLR078C SGDID:S000004068, Chromosome XII:285736..286559
>SIC1 YLR079W SGDID:S000004069, Chromosome XII:286820..287674
>EMP46 YLR080W SGDID:S000004070, Chromosome XII:287916..289250
>SRL2 YLR082C SGDID:S000004072, Chromosome XII:292394..293572
>SMC4 YLR086W SGDID:S000004076, Chromosome XII:302243..306499
>GAA1 YLR088W SGDID:S000004078, Chromosome XII:316107..317951
>ALT1 YLR089C SGDID:S000004079, Chromosome XII:318237..320015
>XDJ1 YLR090W SGDID:S000004080, Chromosome XII:320701..322080
>GEP5 YLR091W SGDID:S000004081, Chromosome XII:322297..323178
>SUL2 YLR092W SGDID:S000004082, Chromosome XII:323544..326225
>NYV1 YLR093C SGDID:S000004083, Chromosome XII:326513..327415
>GIS3 YLR094C SGDID:S000004084, Chromosome XII:327730..329238
>HRT3 YLR097C SGDID:S000004087, Chromosome XII:336231..337265
>ICT1 YLR099C SGDID:S000004089, Chromosome XII:339744..340928
>MIM2 YLR099W-A SGDID:S000007618, Chromosome XII:341325..341588
>ERG27 YLR100W SGDID:S000004090, Chromosome XII:341810..342853
>YLR101C YLR101C SGDID:S000004091, Chromosome XII:342566..342961
>APC9 YLR102C SGDID:S000004092, Chromosome XII:342970..343767
>LCL2 YLR104W SGDID:S000004094, Chromosome XII:346585..346980
>SEN2 YLR105C SGDID:S000004095, Chromosome XII:347047..348180
>REA1 YLR106C SGDID:S000004096, Chromosome XII:349006..363738
>REX3 YLR107W SGDID:S000004097, Chromosome XII:364116..365330
>YLR108C YLR108C SGDID:S000004098, Chromosome XII:366667..368124
>AHP1 YLR109W SGDID:S000004099, Chromosome XII:368781..369311
>YLR111W YLR111W SGDID:S000004101, Chromosome XII:370391..370723
>YLR112W YLR112W SGDID:S000004102, Chromosome XII:370791..371210
>HOG1 YLR113W SGDID:S000004103, Chromosome XII:371620..372927
>CFT2 YLR115W SGDID:S000004105, Chromosome XII:377985..380564
>MSL5 YLR116W SGDID:S000004106, Chromosome XII:380822..382252
>SRN2 YLR119W SGDID:S000004109, Chromosome XII:385534..386175
>YPS1 YLR120C SGDID:S000004110, Chromosome XII:386511..388220
>YLR120W-A YLR120W-A SGDID:S000028674, Chromosome XII:388672..388773
>YPS3 YLR121C SGDID:S000004111, Chromosome XII:388744..390270
>YLR122C YLR122C SGDID:S000004112, Chromosome XII:390954..391331
>YLR123C YLR123C SGDID:S000004113, Chromosome XII:391078..391407
>YLR124W YLR124W SGDID:S000004114, Chromosome XII:391600..391944
>YLR126C YLR126C SGDID:S000004116, Chromosome XII:394765..395520
>DIP2 YLR129W SGDID:S000004119, Chromosome XII:399657..402488
>ACE2 YLR131C SGDID:S000004121, Chromosome XII:404510..406822
>USB1 YLR132C SGDID:S000004122, Chromosome XII:407283..408155
>CKI1 YLR133W SGDID:S000004123, Chromosome XII:408445..410193
>SLX4 YLR135W SGDID:S000004125, Chromosome XII:413281..415527
>TIS11 YLR136C SGDID:S000004126, Chromosome XII:415801..416658
>RKM5 YLR137W SGDID:S000004127, Chromosome XII:417006..418109
>NHA1 YLR138W SGDID:S000004128, Chromosome XII:418437..421394
>SLS1 YLR139C SGDID:S000004129, Chromosome XII:421542..423473
>YLR140W YLR140W SGDID:S000004130, Chromosome XII:423474..423800
>RRN5 YLR141W SGDID:S000004131, Chromosome XII:423683..424774
>DPH6 YLR143W SGDID:S000004133, Chromosome XII:427329..429386
>ACF2 YLR144C SGDID:S000004134, Chromosome XII:429677..432016
>RMP1 YLR145W SGDID:S000004135, Chromosome XII:432168..432773
>YLR146W-A YLR146W-A SGDID:S000113566, Chromosome XII:433870..434058
>SMD3 YLR147C SGDID:S000004137, Chromosome XII:434158..434463
>PEP3 YLR148W SGDID:S000004138, Chromosome XII:434641..437397
>YLR149C-A YLR149C-A SGDID:S000007619, Chromosome XII:440370..440456
>ACS2 YLR153C SGDID:S000004143, Chromosome XII:445524..447575
>RNH203 YLR154C SGDID:S000004144, Chromosome XII:447982..448314
>YLR154C-G YLR154C-G SGDID:S000028561, Chromosome XII:462522..462671
>YLR154C-H YLR154C-H SGDID:S000028562, Chromosome XII:468827..468958
>YLR154W-B YLR154W-B SGDID:S000028563, Chromosome XII:454392..454556
>TAR1 YLR154W-C SGDID:S000028422, Chromosome XII:454696..455070
>YLR154W-E YLR154W-E SGDID:S000028676, Chromosome XII:455433..455636
>YLR154W-F YLR154W-F SGDID:S000028843, Chromosome XII:455883..456023
>ASP3-1 YLR155C SGDID:S000004145, Chromosome XII:469317..470405
>YLR156W YLR156W SGDID:S000004146, Chromosome XII:472113..472457
>RRT15 YLR162W-A SGDID:S000028567, Chromosome XII:490406..490594
>YLR162W YLR162W SGDID:S000004152, Chromosome XII:489573..489929
>MAS1 YLR163C SGDID:S000004153, Chromosome XII:491866..493254
>YLR163W-A YLR163W-A SGDID:S000028844, Chromosome XII:492812..492925
>RPS31 YLR167W SGDID:S000004157, Chromosome XII:498947..499405
